Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,Yes,Travel_Rarely,783,Human Resources,11,2,Marketing,1.0,81,1,Male,35,3,1,Research Scientist,3,Single,12976,8017,8,Y,No,24,4,3,80,2,0,5,3,25,11,14,14
40,Yes,Travel_Rarely,333,Human Resources,1,2,Technical Degree,1.0,82,1,Female,67,4,4,Sales Representative,2,Divorced,15624,10745,9,Y,Yes,22,4,2,80,1,6,3,4,33,13,0,7
57,Yes,Non-Travel,1131,Human Resources,7,1,Technical Degree,1.0,83,3,Male,50,1,3,Sales Representative,4,Divorced,19087,20660,0,Y,No,18,4,2,80,2,32,0,2,19,6,3,0
28,Yes,Non-Travel,762,Sales,23,3,Medical,1.0,84,4,Male,90,1,2,Sales Executive,1,Married,7061,8754,0,Y,No,18,3,2,80,1,16,1,3,35,1,2,10
24,Yes,Non-Travel,1274,Human Resources,9,1,Technical Degree,1.0,85,1,Male,51,1,2,Laboratory Technician,2,Single,9667,10016,4,Y,Yes,11,4,3,80,2,11,5,1,30,10,6,12
53,No,Travel_Rarely,327,Research & Development,28,1,Marketing,1.0,86,4,Male,46,4,4,Healthcare Representative,3,Single,9015,19716,8,Y,No,15,3,3,80,1,30,3,1,8,1,12,1
27,No,Non-Travel,623,Human Resources,21,1,Technical Degree,1.0,87,4,Female,32,2,3,Healthcare Representative,4,Single,19429,18479,0,Y,No,15,3,3,80,1,38,1,2,23,17,4,12
28,No,Travel_Frequently,971,Research & Development,14,1,Technical Degree,1.0,88,1,Male,56,1,2,Laboratory Technician,4,Married,3621,8521,1,Y,No,16,3,4,80,0,27,5,2,17,12,6,6
22,No,Non-Travel,1278,Human Resources,8,1,Life Sciences,1.0,89,1,Male,72,4,2,Manager,2,Single,7436,21919,1,Y,No,17,3,1,80,2,38,2,3,9,15,8,4
23,No,Non-Travel,1117,Research & Development,1,4,Medical,1.0,90,4,Female,67,1,3,Manufacturing Director,2,Married,16443,20875,0,Y,Yes,19,4,4,80,1,31,3,2,6,17,8,2
50,No,Travel_Rarely,1232,Sales,11,2,Marketing,1.0,91,3,Female,78,2,4,Sales Representative,2,Married,3529,6842,8,Y,Yes,23,3,2,80,2,32,0,2,36,5,7,13
48,Yes,Travel_Rarely,1295,Human Resources,12,2,Life Sciences,1.0,92,3,Female,40,2,2,Research Director,4,Single,6582,18843,7,Y,No,13,3,3,80,2,13,0,4,10,12,5,1
27,Yes,Travel_Rarely,161,Research & Development,12,1,Human Resources,1.0,93,1,Female,62,1,1,Research Director,2,Divorced,14602,7155,2,Y,Yes,24,3,3,80,2,19,4,4,23,15,14,3
58,No,Travel_Frequently,1204,Research & Development,22,2,Technical Degree,1.0,94,1,Female,79,3,3,Research Director,1,Married,7468,19689,6,Y,Yes,24,3,3,80,3,19,0,2,4,15,1,6
45,Yes,Travel_Rarely,1372,Research & Development,7,1,Other,1.0,95,2,Female,92,1,3,Manager,3,Married,5689,9070,0,Y,Yes,11,4,4,80,2,17,1,2,4,2,3,11
36,No,Travel_Frequently,1494,Human Resources,23,1,Medical,1.0,96,4,Female,34,1,4,Laboratory Technician,3,Divorced,9421,5523,8,Y,Yes,17,3,2,80,0,20,5,2,0,7,14,11
47,No,Travel_Rarely,424,Human Resources,20,1,Human Resources,1.0,97,3,Female,90,4,1,Healthcare Representative,4,Divorced,9107,5699,2,Y,Yes,22,3,4,80,2,29,5,4,12,14,8,0
30,No,Travel_Frequently,1006,Human Resources,27,1,Medical,1.0,98,2,Male,63,4,2,Manager,2,Married,12539,9740,3,Y,No,19,3,3,80,0,22,3,1,22,15,14,2
27,No,Non-Travel,1216,Human Resources,14,1,Technical Degree,1.0,99,2,Female,63,1,3,Research Scientist,1,Divorced,6589,22573,8,Y,Yes,22,4,4,80,2,14,2,4,22,14,5,7
21,No,Travel_Frequently,1485,Research & Development,22,4,Other,1.0,100,1,Male,70,3,4,Research Director,3,Married,16211,14868,3,Y,Yes,15,4,3,80,1,5,1,3,18,8,4,3
44,No,Travel_Rarely,563,Sales,5,4,Marketing,1.0,101,4,Female,50,2,4,Healthcare Representative,1,Divorced,18632,17138,9,Y,Yes,13,4,2,80,3,25,2,1,27,17,1,1
27,No,Travel_Frequently,1146,Sales,6,2,Life Sciences,1.0,102,4,Male,78,4,2,Sales Executive,2,Single,12494,23037,1,Y,No,17,4,3,80,0,24,2,2,22,9,9,1
52,No,Travel_Frequently,291,Sales,8,2,Other,1.0,103,2,Female,73,4,4,Manufacturing Director,4,Married,14961,24434,2,Y,Yes,11,3,2,80,2,21,4,1,25,5,1,13
59,No,Travel_Frequently,1036,Sales,26,4,Life Sciences,1.0,104,3,Male,63,4,3,Sales Executive,4,Divorced,3040,24211,4,Y,Yes,15,3,3,80,0,10,1,3,3,7,8,12
29,Yes,Non-Travel,1031,Sales,19,4,Technical Degree,1.0,105,4,Female,73,4,4,Sales Executive,3,Single,6125,21582,5,Y,No,16,3,4,80,3,34,4,4,18,5,14,6
18,Yes,Travel_Rarely,1001,Research & Development,1,2,Life Sciences,1.0,106,3,Male,65,3,3,Manufacturing Director,2,Married,6067,14252,7,Y,Yes,16,4,1,80,2,11,5,1,27,5,4,7
26,No,Non-Travel,308,Sales,1,4,Marketing,1.0,107,4,Female,33,3,4,Manager,3,Married,16682,11967,9,Y,Yes,23,3,4,80,2,16,5,2,24,7,11,6
43,No,Travel_Rarely,1395,Human Resources,26,4,Human Resources,1.0,108,1,Female,69,2,4,Healthcare Representative,3,Single,19923,20238,0,Y,No,15,4,2,80,3,39,0,4,11,13,8,3
27,Yes,Travel_Frequently,751,Sales,17,2,Life Sciences,1.0,109,1,Male,58,4,2,Research Director,1,Divorced,12990,21087,9,Y,Yes,20,3,2,80,1,36,3,1,34,7,7,2
18,Yes,Travel_Frequently,1133,Human Resources,27,3,Other,1.0,110,3,Male,92,4,4,Research Director,4,Married,13332,7998,3,Y,No,15,3,4,80,1,32,3,2,39,3,10,14
22,Yes,Non-Travel,985,Research & Development,1,1,Marketing,1.0,111,1,Male,92,1,4,Healthcare Representative,3,Married,6511,16452,2,Y,No,19,3,3,80,1,6,5,4,6,2,6,9
33,No,Travel_Frequently,1050,Human Resources,15,2,Human Resources,1.0,112,4,Male,96,3,3,Laboratory Technician,1,Married,14001,14613,0,Y,No,16,4,4,80,0,11,0,3,24,8,12,0
49,Yes,Travel_Frequently,840,Human Resources,20,3,Life Sciences,1.0,113,1,Male,83,3,4,Laboratory Technician,2,Single,5980,10706,2,Y,No,22,3,2,80,0,32,0,3,26,16,1,5
18,Yes,Travel_Rarely,183,Human Resources,29,2,Medical,1.0,114,2,Female,91,1,1,Healthcare Representative,2,Divorced,19764,16052,7,Y,Yes,13,4,3,80,3,30,4,4,19,11,7,8
47,Yes,Non-Travel,453,Sales,3,4,Medical,1.0,115,3,Female,52,3,1,Sales Executive,1,Married,10036,13670,6,Y,No,16,4,1,80,2,39,0,3,23,2,9,2
38,No,Travel_Frequently,396,Human Resources,8,4,Other,1.0,116,4,Male,81,3,4,Laboratory Technician,4,Married,10189,5346,6,Y,No,18,4,4,80,1,9,3,3,15,15,10,11
54,Yes,Non-Travel,181,Human Resources,20,1,Human Resources,1.0,117,1,Male,61,3,4,Manufacturing Director,2,Married,7828,22978,0,Y,Yes,17,3,3,80,2,20,2,2,0,11,0,4
57,Yes,Non-Travel,256,Sales,8,2,Marketing,1.0,118,4,Male,89,3,4,Research Scientist,1,Divorced,6582,21413,9,Y,No,16,3,2,80,1,5,5,4,14,14,10,7
26,No,Travel_Rarely,952,Human Resources,4,2,Life Sciences,1.0,119,3,Female,45,4,4,Manufacturing Director,1,Married,6954,14286,4,Y,No,21,3,4,80,3,6,1,1,38,7,1,4
56,Yes,Non-Travel,452,Research & Development,14,3,Other,1.0,120,1,Female,56,1,1,Sales Executive,2,Divorced,17448,14454,3,Y,No,16,3,3,80,1,30,1,4,15,11,7,9
58,No,Non-Travel,210,Research & Development,10,3,Medical,1.0,121,4,Female,98,2,1,Manufacturing Director,2,Single,19910,5597,9,Y,Yes,15,3,2,80,2,31,0,4,39,17,13,14
33,Yes,Non-Travel,1109,Human Resources,24,2,Human Resources,1.0,122,2,Male,38,1,2,Healthcare Representative,2,Divorced,13181,16844,2,Y,Yes,16,4,2,80,3,8,4,3,19,16,2,9
45,Yes,Non-Travel,199,Research & Development,29,4,Other,1.0,123,2,Male,42,1,4,Healthcare Representative,4,Single,5924,8223,6,Y,Yes,18,3,2,80,1,28,0,1,14,7,4,0
39,No,Travel_Frequently,783,Sales,22,3,Medical,1.0,124,4,Female,64,4,1,Research Scientist,1,Single,9735,21995,4,Y,No,16,4,4,80,1,21,0,4,16,16,7,7
44,No,Travel_Rarely,861,Research & Development,20,1,Other,1.0,125,3,Female,45,4,1,Manager,2,Married,9149,21093,8,Y,Yes,21,4,2,80,1,14,3,4,24,17,3,2
24,No,Travel_Rarely,875,Human Resources,27,1,Medical,1.0,126,3,Male,44,1,2,Research Scientist,3,Divorced,8168,17382,9,Y,No,19,3,4,80,2,8,1,1,37,15,13,13
24,Yes,Non-Travel,762,Research & Development,24,2,Human Resources,1.0,127,4,Female,45,3,3,Sales Representative,3,Married,12151,5721,2,Y,No,24,4,4,80,3,39,1,3,24,0,7,2
43,No,Travel_Frequently,593,Research & Development,26,1,Marketing,1.0,128,3,Male,82,4,3,Sales Representative,2,Divorced,8555,19290,8,Y,Yes,20,3,4,80,0,26,4,4,25,2,2,14
26,Yes,Travel_Rarely,1232,Research & Development,3,1,Medical,1.0,129,2,Female,47,4,4,Laboratory Technician,1,Divorced,8733,7975,6,Y,No,15,3,1,80,2,19,0,1,0,12,8,3
23,Yes,Travel_Rarely,1463,Research & Development,28,2,Life Sciences,1.0,130,4,Female,78,2,4,Laboratory Technician,2,Married,4631,23836,9,Y,Yes,24,4,3,80,2,32,4,1,28,4,7,0
49,No,Non-Travel,609,Sales,19,2,Human Resources,1.0,131,3,Female,71,4,2,Sales Executive,3,Single,18976,21276,9,Y,No,18,4,4,80,0,11,3,1,4,12,2,2
34,No,Travel_Frequently,1418,Sales,24,3,Marketing,1.0,132,3,Male,71,2,3,Healthcare Representative,3,Single,6387,20536,8,Y,Yes,22,4,2,80,3,26,3,1,6,5,0,6
43,Yes,Non-Travel,102,Sales,7,2,Other,1.0,133,4,Female,61,4,3,Sales Representative,3,Married,9979,6546,1,Y,Yes,21,3,1,80,1,6,4,3,36,9,14,12
34,Yes,Travel_Frequently,420,Sales,6,4,Human Resources,1.0,134,4,Female,56,4,3,Laboratory Technician,4,Single,13365,23271,4,Y,No,20,3,1,80,2,1,2,1,38,16,12,3
49,Yes,Travel_Frequently,790,Research & Development,11,1,Technical Degree,1.0,135,3,Male,59,1,3,Laboratory Technician,2,Married,15204,10435,8,Y,No,21,3,4,80,1,27,3,3,13,14,1,13
56,No,Non-Travel,1286,Human Resources,20,4,Life Sciences,1.0,136,3,Male,62,1,1,Research Director,1,Married,18171,22949,5,Y,No,15,4,3,80,2,30,4,4,29,4,6,9
